NPC Profile,Count
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",523102.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",524187.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",223703.0
"Does not own a cat, does not plan to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",223585.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",174168.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",174504.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",74872.0
"Does not own a cat, does not plan to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",75102.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",174258.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",174337.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",74480.0
"Does not own a cat, plans to get a new cat, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",74893.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",58264.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",58369.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",24883.0
"Does not own a cat, plans to get a new cat, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",24988.0
"Owns a cat, is a new cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",4027.0
"Owns a cat, is a new cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",4201.0
"Owns a cat, is a new cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",1730.0
"Owns a cat, is a new cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",1798.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",1388.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",1344.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",553.0
"Owns a cat, is a new cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",602.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",64636.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",65002.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",27778.0
"Owns a cat, is an experienced cat owner, cares about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",27906.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income above 20,000 HKD",21410.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is not well-informed on animal welfare, has a monthly income below 20,000 HKD",21541.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income above 20,000 HKD",9143.0
"Owns a cat, is an experienced cat owner, does not care about the cat breed, is well-informed on animal welfare, has a monthly income below 20,000 HKD",9246.0
